v8-version,4,5,103,33,0
code-creation,Builtin,4,0x252c5c8214c0,194,"MakeSexagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x252c5c8215a0,194,"MakeSexagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x252c5c821680,194,"MakeSeptuagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x252c5c821760,194,"MakeSeptuagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x252c5c821840,194,"MakeOctogenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x252c5c821920,194,"MakeOctogenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,3,0x252c5c821a00,117,"LoadIC_Slow"
code-creation,Builtin,3,0x252c5c821a80,117,"LoadIC_Slow_Strong"
code-creation,Builtin,3,0x252c5c821b00,117,"KeyedLoadIC_Slow"
code-creation,Builtin,3,0x252c5c821b80,117,"KeyedLoadIC_Slow_Strong"
code-creation,Builtin,3,0x252c5c821c00,118,"StoreIC_Slow"
code-creation,Builtin,3,0x252c5c821c80,118,"KeyedStoreIC_Slow"
code-creation,Stub,2,0x252c5c821d00,972,"NameDictionaryLookupStub"
code-creation,Builtin,3,0x252c5c8220e0,275,"LoadIC_Normal"
code-creation,Builtin,3,0x252c5c822200,275,"LoadIC_Normal_Strong"
code-creation,Stub,2,0x252c5c822320,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0x252c5c822700,1786,"RecordWriteStub"
code-creation,Builtin,3,0x252c5c822e00,345,"StoreIC_Normal"
code-creation,Builtin,4,0x252c5c822f60,199,"Return_DebugBreak"
code-creation,Builtin,4,0x252c5c823040,195,"CallFunctionStub_DebugBreak"
code-creation,Builtin,4,0x252c5c823120,231,"CallConstructStub_DebugBreak"
code-creation,Builtin,4,0x252c5c823220,235,"CallConstructStub_Recording_DebugBreak"
code-creation,Builtin,8,0x252c5c823320,197,"CallICStub_DebugBreak"
code-creation,Builtin,4,0x252c5c823400,197,"Slot_DebugBreak"
code-creation,Builtin,4,0x252c5c8234e0,97,"PlainReturn_LiveEdit"
code-creation,Builtin,4,0x252c5c823560,137,"FrameDropper_LiveEdit"
tick,0xbeb906,23122,0,0x0,2
tick,0xc38d63,24279,0,0x0,2
tick,0xd33b51,25334,0,0x0,2
code-creation,Stub,2,0x252c5c823600,478,"FastNewContextStub"
